Customer ID,Age,Gender,Annual Income,Spending Score,Purchase Frequency
CUST1039,24,Female,32,81,20
CUST1006,21,Male,26,89,16
CUST1292,22,Female,16,99,14
CUST1206,24,Female,24,99,12
CUST1212,20,Female,18,80,8
CUST1123,25,Male,28,95,19
CUST1127,22,Male,30,92,2
CUST1205,22,Female,29,97,10
CUST1264,24,Female,22,94,14
CUST1259,19,Female,28,76,2
CUST1213,20,Male,37,99,7
CUST1318,24,Male,39,70,8
CUST1251,20,Female,22,70,14
CUST1038,20,Male,35,94,15
CUST1153,25,Male,30,96,8
CUST1329,22,Female,27,99,17
CUST1187,21,Male,32,94,20
CUST1383,25,Male,29,89,15
CUST1301,25,Male,35,82,11
CUST1031,20,Female,38,78,13
CUST1394,23,Female,39,72,14
CUST1088,22,Female,27,76,1
CUST1097,19,Female,23,75,3
CUST1199,25,Female,29,77,7
CUST1284,21,Female,27,96,5
CUST1075,23,Female,15,78,1
CUST1073,23,Male,39,99,15
CUST1188,19,Male,21,74,2
CUST1169,25,Female,23,70,11
CUST1240,21,Male,38,88,10
CUST1272,22,Male,15,79,15
CUST1053,18,Female,26,81,2
CUST1044,21,Male,22,93,20
CUST1034,19,Male,38,84,4
CUST1080,23,Male,25,96,18
CUST1155,22,Male,33,91,13
CUST1126,21,Male,31,93,3
CUST1332,18,Female,22,78,12
CUST1216,18,Female,17,89,19
CUST1234,20,Female,17,86,9
CUST1020,20,Male,15,99,12
CUST1179,24,Female,19,86,16
CUST1328,19,Female,24,95,15
CUST1143,25,Male,21,89,19
CUST1384,21,Male,23,81,16
CUST1183,21,Male,21,99,13
CUST1360,25,Female,23,76,19
CUST1364,24,Female,22,71,17
CUST1325,23,Male,26,72,2
CUST1051,23,Female,16,86,13
CUST1165,24,Male,15,74,3
CUST1345,23,Female,30,86,16
CUST1224,20,Female,37,93,15
CUST1152,21,Male,37,86,5
CUST1068,24,Female,38,96,2
CUST1358,21,Male,19,86,3
CUST1300,25,Female,17,71,13
CUST1372,18,Male,26,71,17
CUST1084,20,Male,22,97,10
CUST1004,22,Female,36,91,14
CUST1343,20,Female,17,92,15
CUST1016,24,Male,15,74,9
CUST1070,22,Female,17,70,18
CUST1348,18,Female,19,70,4
CUST1238,24,Male,29,88,8
CUST1326,19,Male,28,99,9
CUST1171,21,Female,17,71,10
CUST1151,18,Male,15,90,14
CUST1194,21,Male,19,81,4
CUST1193,23,Male,37,95,7
CUST1209,19,Female,28,75,17
CUST1270,19,Female,21,92,5
CUST1200,18,Male,23,73,20
CUST1346,19,Female,29,92,7
CUST1254,22,Male,29,80,6
CUST1245,19,Female,24,93,20
CUST1173,21,Male,27,96,6
CUST1359,21,Male,33,86,20
CUST1049,24,Female,21,75,1
CUST1174,21,Male,31,93,1
CUST1269,24,Female,34,74,5
CUST1142,21,Female,18,89,2
CUST1392,22,Male,19,71,12
CUST1192,25,Male,37,75,19
CUST1178,24,Female,21,91,11
CUST1099,20,Male,27,80,4
CUST1191,23,Male,29,85,12
CUST1102,18,Male,25,85,7
CUST1092,21,Male,18,70,12
CUST1026,19,Male,27,78,11
CUST1037,25,Female,21,97,12
CUST1230,21,Female,33,96,6
CUST1395,19,Male,36,75,3
CUST1003,23,Male,16,85,7
CUST1160,23,Male,24,98,6
CUST1239,23,Female,27,72,10
CUST1278,19,Male,39,89,5
CUST1103,21,Female,35,97,19
CUST1001,23,Female,20,96,6
CUST1334,22,Female,26,73,19
CUST1202,42,Male,87,42,19
CUST1061,47,Female,132,55,7
CUST1207,35,Female,139,43,18
CUST1390,48,Female,84,57,5
CUST1138,39,Male,147,56,13
CUST1130,49,Female,85,46,11
CUST1349,37,Male,126,44,20
CUST1065,46,Female,134,51,3
CUST1096,35,Male,119,56,13
CUST1356,38,Male,131,52,2
CUST1203,49,Male,95,42,9
CUST1382,47,Male,92,48,17
CUST1386,39,Female,109,56,14
CUST1220,50,Female,98,56,6
CUST1157,41,Male,96,59,4
CUST1186,35,Female,142,55,6
CUST1113,50,Male,98,52,10
CUST1162,37,Male,137,58,16
CUST1337,50,Female,134,56,1
CUST1018,36,Male,141,43,15
CUST1105,43,Male,102,51,7
CUST1050,44,Female,88,48,17
CUST1147,49,Male,91,58,8
CUST1331,40,Male,80,51,1
CUST1089,44,Male,137,48,17
CUST1370,37,Male,80,46,5
CUST1365,42,Female,113,53,14
CUST1327,48,Female,127,59,5
CUST1350,42,Female,80,58,13
CUST1008,36,Male,95,54,13
CUST1214,50,Male,140,55,20
CUST1210,49,Female,143,60,19
CUST1304,40,Male,142,44,10
CUST1058,41,Male,148,42,1
CUST1366,36,Male,101,51,18
CUST1091,49,Male,146,59,12
CUST1265,45,Female,105,60,10
CUST1150,44,Female,95,43,4
CUST1122,36,Female,130,60,9
CUST1098,44,Male,136,55,1
CUST1279,35,Female,108,46,7
CUST1115,42,Female,148,52,10
CUST1290,35,Male,126,60,19
CUST1250,43,Male,141,49,17
CUST1025,45,Female,148,46,13
CUST1046,40,Female,95,53,7
CUST1263,50,Female,127,44,3
CUST1235,41,Female,118,42,6
CUST1391,47,Male,112,50,12
CUST1076,44,Female,102,50,2
CUST1341,41,Female,89,57,14
CUST1119,44,Male,148,54,15
CUST1198,37,Female,113,51,13
CUST1344,36,Male,131,48,10
CUST1131,43,Male,89,49,16
CUST1227,42,Male,98,51,6
CUST1182,47,Female,137,56,8
CUST1255,46,Female,80,45,1
CUST1056,44,Male,148,46,9
CUST1273,41,Female,83,53,13
CUST1256,43,Female,95,52,10
CUST1378,38,Male,103,47,15
CUST1082,47,Male,81,49,4
CUST1086,38,Female,111,48,7
CUST1101,35,Male,103,57,9
CUST1011,42,Female,91,41,6
CUST1347,50,Female,129,44,17
CUST1338,48,Female,114,44,16
CUST1106,50,Female,112,45,4
CUST1071,48,Male,112,58,15
CUST1109,46,Male,140,47,20
CUST1017,37,Male,130,55,4
CUST1052,41,Male,122,52,19
CUST1277,49,Female,91,40,2
CUST1140,46,Female,146,59,11
CUST1042,36,Male,144,56,3
CUST1063,36,Female,112,46,17
CUST1002,50,Female,119,52,14
CUST1294,41,Female,122,43,3
CUST1295,49,Female,123,43,13
CUST1305,40,Male,108,45,11
CUST1120,37,Male,92,58,17
CUST1139,43,Female,91,51,20
CUST1319,44,Male,125,46,20
CUST1137,49,Male,81,49,5
CUST1081,48,Male,114,58,18
CUST1368,47,Male,87,46,3
CUST1296,40,Male,105,42,17
CUST1274,44,Male,113,52,13
CUST1248,44,Female,86,52,18
CUST1040,40,Female,147,57,15
CUST1231,35,Male,137,59,20
CUST1283,38,Male,108,47,13
CUST1135,44,Female,115,48,14
CUST1104,40,Female,100,46,18
CUST1211,49,Male,115,40,13
CUST1233,40,Male,89,42,16
CUST1067,45,Male,103,52,11
CUST1267,46,Male,143,56,5
CUST1367,39,Female,128,40,1
CUST1111,52,Male,51,11,2
CUST1033,70,Male,66,22,1
CUST1281,54,Male,63,15,16
CUST1330,70,Male,75,14,9
CUST1079,54,Female,62,10,4
CUST1172,59,Female,76,30,16
CUST1021,59,Female,58,30,2
CUST1249,68,Male,75,15,6
CUST1180,66,Male,74,15,20
CUST1124,70,Female,64,25,10
CUST1252,63,Male,74,13,16
CUST1362,58,Male,71,20,16
CUST1116,63,Female,64,18,15
CUST1381,50,Female,73,12,3
CUST1197,68,Female,79,28,7
CUST1357,62,Female,60,17,5
CUST1028,62,Male,65,14,3
CUST1355,53,Male,78,13,11
CUST1074,50,Female,66,15,10
CUST1176,66,Male,75,11,15
CUST1262,57,Female,53,29,13
CUST1306,51,Female,50,20,7
CUST1221,57,Male,57,13,17
CUST1054,56,Female,66,24,1
CUST1159,51,Male,52,15,16
CUST1310,52,Male,78,26,20
CUST1168,67,Male,69,15,15
CUST1268,61,Male,64,28,11
CUST1257,50,Female,64,11,12
CUST1280,61,Male,73,24,4
CUST1244,54,Female,71,20,7
CUST1107,66,Female,63,17,9
CUST1146,65,Female,75,28,6
CUST1134,64,Female,77,22,17
CUST1022,64,Male,72,21,6
CUST1354,54,Male,63,14,5
CUST1030,70,Female,73,15,1
CUST1128,63,Female,51,13,14
CUST1289,51,Male,62,28,18
CUST1177,60,Female,75,29,5
CUST1055,68,Male,63,10,4
CUST1288,56,Female,76,29,5
CUST1398,55,Male,73,26,2
CUST1324,51,Female,68,21,17
CUST1393,55,Female,56,24,14
CUST1189,67,Male,52,10,4
CUST1000,51,Female,64,23,5
CUST1218,67,Female,72,15,15
CUST1377,64,Male,63,14,6
CUST1261,68,Female,60,20,4
CUST1285,51,Male,64,13,6
CUST1117,69,Male,77,22,14
CUST1085,55,Female,62,20,20
CUST1108,50,Female,67,12,17
CUST1308,64,Female,75,10,10
CUST1083,59,Female,55,15,3
CUST1361,68,Female,52,27,14
CUST1291,66,Female,68,19,9
CUST1307,54,Female,64,14,6
CUST1222,53,Male,74,19,8
CUST1181,59,Female,72,21,3
CUST1247,66,Male,54,11,14
CUST1309,59,Female,77,22,15
CUST1302,66,Female,59,17,5
CUST1246,69,Male,56,11,11
CUST1258,54,Female,74,29,20
CUST1317,51,Female,66,10,7
CUST1299,55,Male,56,14,20
CUST1007,70,Female,71,18,2
CUST1228,51,Female,75,26,7
CUST1023,62,Female,79,18,13
CUST1035,60,Male,61,20,7
CUST1371,60,Female,74,24,17
CUST1112,65,Female,66,15,2
CUST1045,60,Female,62,12,11
CUST1164,68,Female,69,26,4
CUST1133,64,Male,74,14,13
CUST1229,65,Male,53,21,7
CUST1271,60,Female,59,27,12
CUST1154,65,Female,52,23,3
CUST1342,57,Male,58,30,8
CUST1149,53,Female,62,20,9
CUST1316,57,Female,67,18,11
CUST1379,53,Male,64,11,11
CUST1072,52,Female,53,21,11
CUST1158,52,Male,64,12,3
CUST1313,67,Male,71,12,14
CUST1298,68,Male,51,10,20
CUST1019,68,Male,64,17,11
CUST1266,70,Female,57,17,10
CUST1260,54,Male,57,20,15
CUST1012,67,Male,66,18,18
CUST1351,59,Female,61,14,7
CUST1066,70,Male,68,23,9
CUST1059,55,Male,59,12,6
CUST1399,50,Female,58,30,15
CUST1217,54,Male,54,14,19
CUST1204,58,Female,55,14,9
CUST1287,61,Female,69,28,10
CUST1373,63,Female,75,23,4
CUST1015,33,Female,138,95,17
CUST1322,34,Male,102,95,18
CUST1129,28,Female,131,98,10
CUST1396,33,Male,109,82,3
CUST1321,29,Male,109,71,11
CUST1293,34,Male,118,92,10
CUST1335,33,Male,145,74,4
CUST1276,27,Male,133,80,7
CUST1094,39,Male,132,75,4
CUST1241,28,Male,122,87,8
CUST1078,33,Male,127,90,7
CUST1062,34,Male,131,79,6
CUST1156,35,Male,149,73,19
CUST1167,30,Female,106,78,16
CUST1314,26,Female,128,75,8
CUST1336,31,Female,107,71,2
CUST1132,26,Male,100,86,11
CUST1219,35,Female,102,74,4
CUST1195,26,Female,123,94,14
CUST1389,35,Female,122,75,14
CUST1041,25,Male,107,95,5
CUST1375,40,Male,146,81,3
CUST1282,35,Male,136,92,13
CUST1352,35,Male,102,90,12
CUST1114,36,Female,132,79,4
CUST1369,35,Female,127,91,17
CUST1110,27,Female,146,90,12
CUST1024,30,Female,107,96,17
CUST1387,32,Male,133,94,18
CUST1236,33,Male,134,75,18
CUST1027,31,Male,131,96,20
CUST1175,28,Female,123,77,15
CUST1225,30,Male,113,71,6
CUST1340,29,Female,131,81,11
CUST1064,32,Female,145,82,17
CUST1223,25,Female,142,94,11
CUST1141,25,Male,115,90,17
CUST1323,37,Male,103,76,12
CUST1303,39,Male,136,79,7
CUST1148,35,Male,120,82,9
CUST1005,30,Male,113,86,19
CUST1237,34,Male,130,95,7
CUST1060,36,Female,147,90,3
CUST1380,26,Female,117,97,7
CUST1339,29,Female,106,99,19
CUST1253,25,Male,109,95,17
CUST1032,31,Female,106,83,3
CUST1196,25,Male,132,71,2
CUST1043,28,Male,122,97,15
CUST1077,33,Female,120,91,1
CUST1118,25,Male,118,80,12
CUST1242,28,Male,147,70,10
CUST1013,30,Female,118,88,9
CUST1315,30,Female,135,90,4
CUST1047,36,Female,128,73,17
CUST1009,39,Male,117,88,2
CUST1048,37,Female,101,95,9
CUST1087,32,Female,100,98,5
CUST1297,25,Male,146,90,15
CUST1184,31,Female,104,80,3
CUST1374,25,Female,119,77,20
CUST1226,40,Female,110,80,17
CUST1161,37,Male,141,73,15
CUST1376,38,Male,101,86,13
CUST1100,31,Male,102,96,7
CUST1388,27,Male,122,76,1
CUST1397,35,Female,111,77,14
CUST1333,32,Male,119,72,15
CUST1036,27,Male,104,91,12
CUST1232,38,Female,136,71,6
CUST1090,40,Female,137,92,9
CUST1093,38,Female,129,84,6
CUST1353,37,Male,108,93,11
CUST1385,25,Male,133,91,18
CUST1125,37,Male,143,91,2
CUST1311,37,Female,134,74,20
CUST1275,38,Female,121,93,9
CUST1014,40,Male,143,70,16
CUST1057,32,Female,123,95,20
CUST1185,27,Female,116,73,15
CUST1121,26,Female,109,84,7
CUST1069,25,Male,129,89,1
CUST1145,38,Female,145,88,2
CUST1166,27,Female,122,72,9
CUST1208,39,Male,131,89,8
CUST1243,26,Male,116,80,18
CUST1190,26,Female,149,86,7
CUST1320,30,Female,116,99,5
CUST1010,36,Male,113,96,3
CUST1312,25,Male,108,82,11
CUST1029,26,Female,139,80,5
CUST1144,38,Female,101,71,10
CUST1095,30,Female,144,78,17
CUST1136,27,Female,124,95,1
CUST1363,39,Male,138,71,8
CUST1286,28,Female,108,90,9
CUST1215,25,Female,121,78,18
CUST1201,32,Female,142,78,19
CUST1170,37,Female,145,77,17
CUST1163,31,Female,103,86,16
